"nspname","typname","oid","typrelid","typbasetype","type","elemoid","ord"
"pg_catalog","_money",791,0,0,"a",790,3
"pg_catalog","_macaddr",1040,0,0,"a",829,3
"pg_catalog","_inet",1041,0,0,"a",869,3
"pg_catalog","_cidr",651,0,0,"a",650,3
"pg_catalog","_macaddr8",775,0,0,"a",774,3
"pg_catalog","_aclitem",1034,0,0,"a",1033,3
"pg_catalog","_bpchar",1014,0,0,"a",1042,3
"pg_catalog","_varchar",1015,0,0,"a",1043,3
"pg_catalog","_date",1182,0,0,"a",1082,3
"pg_catalog","_time",1183,0,0,"a",1083,3
"pg_catalog","_timestamp",1115,0,0,"a",1114,3
"pg_catalog","_timestamptz",1185,0,0,"a",1184,3
"pg_catalog","_interval",1187,0,0,"a",1186,3
"pg_catalog","_timetz",1270,0,0,"a",1266,3
"pg_catalog","_bit",1561,0,0,"a",1560,3
"pg_catalog","_varbit",1563,0,0,"a",1562,3
"pg_catalog","_numeric",1231,0,0,"a",1700,3
"pg_catalog","_refcursor",2201,0,0,"a",1790,3
"pg_catalog","_regprocedure",2207,0,0,"a",2202,3
"pg_catalog","_regoper",2208,0,0,"a",2203,3
"pg_catalog","_regoperator",2209,0,0,"a",2204,3
"pg_catalog","_regclass",2210,0,0,"a",2205,3
"pg_catalog","_regcollation",4192,0,0,"a",4191,3
"pg_catalog","_regtype",2211,0,0,"a",2206,3
"pg_catalog","_regrole",4097,0,0,"a",4096,3
"pg_catalog","_regnamespace",4090,0,0,"a",4089,3
"pg_catalog","_uuid",2951,0,0,"a",2950,3
"pg_catalog","_pg_lsn",3221,0,0,"a",3220,3
"pg_catalog","_tsvector",3643,0,0,"a",3614,3
"pg_catalog","_gtsvector",3644,0,0,"a",3642,3
"pg_catalog","_tsquery",3645,0,0,"a",3615,3
"pg_catalog","_regconfig",3735,0,0,"a",3734,3
"pg_catalog","_regdictionary",3770,0,0,"a",3769,3
"pg_catalog","_jsonb",3807,0,0,"a",3802,3
"pg_catalog","_jsonpath",4073,0,0,"a",4072,3
"pg_catalog","_txid_snapshot",2949,0,0,"a",2970,3
"pg_catalog","_pg_snapshot",5039,0,0,"a",5038,3
"pg_catalog","_int4range",3905,0,0,"a",3904,3
"pg_catalog","_numrange",3907,0,0,"a",3906,3
"pg_catalog","_tsrange",3909,0,0,"a",3908,3
"pg_catalog","_tstzrange",3911,0,0,"a",3910,3
"pg_catalog","_daterange",3913,0,0,"a",3912,3
"pg_catalog","_int8range",3927,0,0,"a",3926,3
"information_schema","_cardinal_number",13170,0,0,"a",13171,3
"information_schema","_character_data",13173,0,0,"a",13174,3
"information_schema","_sql_identifier",13175,0,0,"a",13176,3
"information_schema","_time_stamp",13180,0,0,"a",13181,3
